seed,category,module_name,parameter_name,parameter_count,destination_evidence_role,trainable
3407,text,c27.frozen_sources.text_projector,c27.frozen_sources.text_projector.out.1.weight,65536,text encoder output -> support/nonspecific/opposition/temporal evidence,True
3407,text,c27.frozen_sources.text_projector,c27.frozen_sources.text_projector.out.1.bias,256,text encoder output -> support/nonspecific/opposition/temporal evidence,True
3407,text,c27.frozen_sources.text_projector,c27.frozen_sources.text_projector.out.4.weight,65536,text encoder output -> support/nonspecific/opposition/temporal evidence,True
3407,text,c27.frozen_sources.text_projector,c27.frozen_sources.text_projector.out.4.bias,256,text encoder output -> support/nonspecific/opposition/temporal evidence,True
3407,text,c27.frozen_sources.text_projector,c27.frozen_sources.text_projector.out.5.weight,256,text encoder output -> support/nonspecific/opposition/temporal evidence,True
3407,text,c27.frozen_sources.text_projector,c27.frozen_sources.text_projector.out.5.bias,256,text encoder output -> support/nonspecific/opposition/temporal evidence,True
3407,text,c27.frozen_sources.text_projector,c27.frozen_sources.text_projector.temporal_proj.0.weight,262144,text encoder output -> support/nonspecific/opposition/temporal evidence,True
3407,text,c27.frozen_sources.text_projector,c27.frozen_sources.text_projector.temporal_proj.0.bias,256,text encoder output -> support/nonspecific/opposition/temporal evidence,True
3407,text,c27.frozen_sources.text_projector,c27.frozen_sources.text_projector.temporal_proj.3.weight,256,text encoder output -> support/nonspecific/opposition/temporal evidence,True
3407,text,c27.frozen_sources.text_projector,c27.frozen_sources.text_projector.temporal_proj.3.bias,256,text encoder output -> support/nonspecific/opposition/temporal evidence,True
3407,text,c27.frozen_sources.text_projector,c27.frozen_sources.text_projector.temporal_conflict.weight,256,text encoder output -> support/nonspecific/opposition/temporal evidence,True
3407,text,c27.frozen_sources.text_projector,c27.frozen_sources.text_projector.temporal_conflict.bias,1,text encoder output -> support/nonspecific/opposition/temporal evidence,True
