seed,scope,name
42,frozen,c27.frozen_sources.bio_projector.group_proj.0.3.weight
42,frozen,c27.frozen_sources.bio_projector.group_proj.0.3.bias
42,frozen,c27.frozen_sources.bio_projector.group_proj.1.0.weight
42,frozen,c27.frozen_sources.bio_projector.group_proj.1.0.bias
42,frozen,c27.frozen_sources.bio_projector.group_proj.1.3.weight
42,frozen,c27.frozen_sources.bio_projector.group_proj.1.3.bias
42,frozen,c27.frozen_sources.bio_projector.group_proj.2.0.weight
42,frozen,c27.frozen_sources.bio_projector.group_proj.2.0.bias
42,frozen,c27.frozen_sources.bio_projector.group_proj.2.3.weight
42,frozen,c27.frozen_sources.bio_projector.group_proj.2.3.bias
42,frozen,c27.core.empty_slot_tokens
42,frozen,c27.core.temporal_norm.weight
42,frozen,c27.core.temporal_norm.bias
42,frozen,c27.core.temporal_linear.weight
42,frozen,c27.core.temporal_linear.bias
42,frozen,c27.core.temporal_output.weight
42,frozen,c27.core.temporal_output.bias
42,frozen,c27.core.patient_projection.0.weight
42,frozen,c27.core.patient_projection.0.bias
42,frozen,c27.core.patient_projection.2.weight
42,frozen,c27.core.patient_projection.2.bias
42,frozen,c27.core.classifier.1.weight
42,frozen,c27.core.classifier.1.bias
3407,trainable,adapter.input_norm.weight
3407,trainable,adapter.input_norm.bias
3407,trainable,adapter.depthwise_k3.weight
3407,trainable,adapter.depthwise_k7.weight
3407,trainable,adapter.pointwise.weight
3407,trainable,adapter.pointwise.bias
3407,trainable,adapter.output.weight
3407,trainable,adapter.output.bias
3407,frozen,c27.frozen_sources.image_encoder.backbone.0.weight
3407,frozen,c27.frozen_sources.image_encoder.backbone.0.bias
3407,frozen,c27.frozen_sources.image_encoder.backbone.1.weight
3407,frozen,c27.frozen_sources.image_encoder.backbone.1.bias
3407,frozen,c27.frozen_sources.image_encoder.backbone.4.weight
3407,frozen,c27.frozen_sources.image_encoder.backbone.4.bias
3407,frozen,c27.frozen_sources.image_encoder.backbone.5.weight
3407,frozen,c27.frozen_sources.image_encoder.backbone.5.bias
3407,frozen,c27.frozen_sources.image_encoder.proj.2.weight
3407,frozen,c27.frozen_sources.image_encoder.proj.2.bias
3407,frozen,c27.frozen_sources.image_encoder.proj.3.weight
3407,frozen,c27.frozen_sources.image_encoder.proj.3.bias
3407,frozen,c27.frozen_sources.text_encoder.embedding.weight
3407,frozen,c27.frozen_sources.text_encoder.proj.1.weight
3407,frozen,c27.frozen_sources.text_encoder.proj.1.bias
3407,frozen,c27.frozen_sources.text_encoder.proj.3.weight
3407,frozen,c27.frozen_sources.text_encoder.proj.3.bias
3407,frozen,c27.frozen_sources.bio_encoder.medical.0.weight
3407,frozen,c27.frozen_sources.bio_encoder.medical.0.bias
3407,frozen,c27.frozen_sources.bio_encoder.medical.3.weight
3407,frozen,c27.frozen_sources.bio_encoder.medical.3.bias
3407,frozen,c27.frozen_sources.bio_encoder.observation.0.weight
3407,frozen,c27.frozen_sources.bio_encoder.observation.0.bias
3407,frozen,c27.frozen_sources.bio_encoder.observation.3.weight
3407,frozen,c27.frozen_sources.bio_encoder.observation.3.bias
3407,frozen,c27.frozen_sources.bio_encoder.token_proj.weight
3407,frozen,c27.frozen_sources.bio_encoder.token_proj.bias
3407,frozen,c27.frozen_sources.image_projector.queries
3407,frozen,c27.frozen_sources.image_projector.attn.in_proj_weight
3407,frozen,c27.frozen_sources.image_projector.attn.in_proj_bias
3407,frozen,c27.frozen_sources.image_projector.attn.out_proj.weight
3407,frozen,c27.frozen_sources.image_projector.attn.out_proj.bias
3407,frozen,c27.frozen_sources.image_projector.out.0.weight
3407,frozen,c27.frozen_sources.image_projector.out.0.bias
3407,frozen,c27.frozen_sources.image_projector.out.1.weight
3407,frozen,c27.frozen_sources.image_projector.out.1.bias
3407,frozen,c27.frozen_sources.image_projector.out.4.weight
3407,frozen,c27.frozen_sources.image_projector.out.4.bias
3407,frozen,c27.frozen_sources.image_projector.out.5.weight
3407,frozen,c27.frozen_sources.image_projector.out.5.bias
3407,frozen,c27.frozen_sources.text_projector.queries
3407,frozen,c27.frozen_sources.text_projector.out.0.weight
3407,frozen,c27.frozen_sources.text_projector.out.0.bias
3407,frozen,c27.frozen_sources.text_projector.out.1.weight
3407,frozen,c27.frozen_sources.text_projector.out.1.bias
3407,frozen,c27.frozen_sources.text_projector.out.4.weight
3407,frozen,c27.frozen_sources.text_projector.out.4.bias
3407,frozen,c27.frozen_sources.text_projector.out.5.weight
3407,frozen,c27.frozen_sources.text_projector.out.5.bias
3407,frozen,c27.frozen_sources.text_projector.temporal_proj.0.weight
3407,frozen,c27.frozen_sources.text_projector.temporal_proj.0.bias
3407,frozen,c27.frozen_sources.text_projector.temporal_proj.3.weight
3407,frozen,c27.frozen_sources.text_projector.temporal_proj.3.bias
3407,frozen,c27.frozen_sources.text_projector.temporal_conflict.weight
3407,frozen,c27.frozen_sources.text_projector.temporal_conflict.bias
3407,frozen,c27.frozen_sources.bio_projector.input_norm.weight
3407,frozen,c27.frozen_sources.bio_projector.input_norm.bias
3407,frozen,c27.frozen_sources.bio_projector.group_proj.0.0.weight
3407,frozen,c27.frozen_sources.bio_projector.group_proj.0.0.bias
3407,frozen,c27.frozen_sources.bio_projector.group_proj.0.3.weight
3407,frozen,c27.frozen_sources.bio_projector.group_proj.0.3.bias
3407,frozen,c27.frozen_sources.bio_projector.group_proj.1.0.weight
3407,frozen,c27.frozen_sources.bio_projector.group_proj.1.0.bias
3407,frozen,c27.frozen_sources.bio_projector.group_proj.1.3.weight
3407,frozen,c27.frozen_sources.bio_projector.group_proj.1.3.bias
3407,frozen,c27.frozen_sources.bio_projector.group_proj.2.0.weight
3407,frozen,c27.frozen_sources.bio_projector.group_proj.2.0.bias
3407,frozen,c27.frozen_sources.bio_projector.group_proj.2.3.weight
3407,frozen,c27.frozen_sources.bio_projector.group_proj.2.3.bias
3407,frozen,c27.core.empty_slot_tokens
3407,frozen,c27.core.temporal_norm.weight
3407,frozen,c27.core.temporal_norm.bias
3407,frozen,c27.core.temporal_linear.weight
3407,frozen,c27.core.temporal_linear.bias
3407,frozen,c27.core.temporal_output.weight
3407,frozen,c27.core.temporal_output.bias
3407,frozen,c27.core.patient_projection.0.weight
3407,frozen,c27.core.patient_projection.0.bias
3407,frozen,c27.core.patient_projection.2.weight
3407,frozen,c27.core.patient_projection.2.bias
3407,frozen,c27.core.classifier.1.weight
3407,frozen,c27.core.classifier.1.bias
