seed,object_type,representation_or_swap,selected_structure_shortcut_only_label_AUC,max_abs_prediction_selected_structure_spearman,object_shortcut_pass,shortcut_fields_used_as_inputs,prediction_spearman_selected_n_visits,prediction_spearman_used_images,prediction_spearman_image_padding_count,prediction_spearman_has_bio,prediction_spearman_bio_missing_count,prediction_spearman_report_length,prediction_spearman_reconstructable_visit_count,prediction_spearman_visit_report_coverage,prediction_spearman_dated_bio_visit_count,raw_n_visits_orientation_invariant_label_AUC_warning,raw_n_images_orientation_invariant_label_AUC_warning
42,head_swap,HEAD_SWAP_r42_c0,0.28338614757808966,0.11535587800344858,True,False,-0.04853966577521451,-0.04853966577521451,-0.11535587800344858,0.0,-0.004811623524818854,0.05671637484856027,-0.04853966577521451,0.0,-0.04853966577521451,0.9769126301493889,0.9418288818469895
42,classifier_swap,CLS_SWAP_r42_c42,0.28338614757808966,0.19155684667004821,True,False,-0.12238415731148802,-0.12238415731148802,-0.08272664393961598,0.0,-0.11066734107083365,-0.19155684667004821,-0.12238415731148802,0.0,-0.12238415731148802,0.9769126301493889,0.9418288818469895
42,head_swap,HEAD_SWAP_r42_c42,0.28338614757808966,0.19155684667004821,True,False,-0.12238415731148802,-0.12238415731148802,-0.08272664393961598,0.0,-0.11066734107083365,-0.19155684667004821,-0.12238415731148802,0.0,-0.12238415731148802,0.9769126301493889,0.9418288818469895
42,classifier_swap,CLS_SWAP_r42_c3407,0.28338614757808966,0.06896660385573691,True,False,0.02162985106546951,0.02162985106546951,-0.036034979033458224,0.0,0.06896660385573691,0.03322784814376161,0.02162985106546951,0.0,0.02162985106546951,0.9769126301493889,0.9418288818469895
42,head_swap,HEAD_SWAP_r42_c3407,0.28338614757808966,0.3349950874176236,True,False,-0.27239812437512223,-0.27239812437512223,-0.1443753362930236,0.0,-0.03528523918200493,-0.3349950874176236,-0.27239812437512223,0.0,-0.27239812437512223,0.9769126301493889,0.9418288818469895
3407,probe,P0_official_C27,0.28338614757808966,0.15715132093388975,True,False,-0.09724433041431264,-0.09724433041431264,-0.02440522316943708,0.0,0.02405811762409427,-0.15715132093388975,-0.09724433041431264,0.0,-0.09724433041431264,0.9769126301493889,0.9418288818469895
3407,probe,P1_patient_state,0.28338614757808966,0.16565516465322164,True,False,-0.08357942450540645,-0.08357942450540645,-0.015569119861145713,0.0,-0.07377822738055577,-0.16565516465322164,-0.08357942450540645,0.0,-0.08357942450540645,0.9769126301493889,0.9418288818469895
3407,probe,P2_pre_projection,0.28338614757808966,0.19182417225850637,True,False,-0.08992438081656708,-0.08992438081656708,0.03543858129684175,0.0,-0.12349833713701726,-0.19182417225850637,-0.08992438081656708,0.0,-0.08992438081656708,0.9769126301493889,0.9418288818469895
3407,probe,P3_temporal_mechanisms,0.28338614757808966,0.18097942338618933,True,False,-0.09092937389658541,-0.09092937389658541,0.01795471080761159,0.0,-0.10906346656256069,-0.18097942338618933,-0.09092937389658541,0.0,-0.09092937389658541,0.9769126301493889,0.9418288818469895
3407,probe,P4_conflicts_negative_control,0.28338614757808966,0.30714730577436056,True,False,0.30714730577436056,0.30714730577436056,-0.006181194409618953,0.0,0.07364030983715274,0.296691449023074,0.30714730577436056,0.0,0.30714730577436056,0.9769126301493889,0.9418288818469895
3407,probe,P5_C17_mechanism_reference,0.28338614757808966,0.08442431084145563,True,False,0.016979883083295066,0.016979883083295066,0.019147506280844526,0.0,-0.05613560778955331,-0.08442431084145563,0.016979883083295066,0.0,0.016979883083295066,0.9769126301493889,0.9418288818469895
3407,classifier_swap,CLS_SWAP_r3407_c0,0.28338614757808966,0.32554275844236114,True,False,0.32554275844236114,0.32554275844236114,0.14570938386177099,0.0,0.09302472147983118,0.30722935129749407,0.32554275844236114,0.0,0.32554275844236114,0.9769126301493889,0.9418288818469895
3407,head_swap,HEAD_SWAP_r3407_c0,0.28338614757808966,0.13520172261670169,True,False,0.08843939104161458,0.08843939104161458,0.051368678735413224,0.0,0.13312158418665498,0.13520172261670169,0.08843939104161458,0.0,0.08843939104161458,0.9769126301493889,0.9418288818469895
3407,classifier_swap,CLS_SWAP_r3407_c42,0.28338614757808966,0.10630165899960091,True,False,0.10471427897922514,0.10471427897922514,0.03328841050956659,0.0,0.10585571754601479,0.10630165899960091,0.10471427897922514,0.0,0.10471427897922514,0.9769126301493889,0.9418288818469895
3407,head_swap,HEAD_SWAP_r3407_c42,0.28338614757808966,0.2587783946434246,True,False,-0.13322908263765615,-0.13322908263765615,0.04978351633019576,0.0,0.052927858773007395,-0.2587783946434246,-0.13322908263765615,0.0,-0.13322908263765615,0.9769126301493889,0.9418288818469895
3407,classifier_swap,CLS_SWAP_r3407_c3407,0.28338614757808966,0.15715132093388975,True,False,-0.09724433041431264,-0.09724433041431264,-0.02440522316943708,0.0,0.02405811762409427,-0.15715132093388975,-0.09724433041431264,0.0,-0.09724433041431264,0.9769126301493889,0.9418288818469895
3407,head_swap,HEAD_SWAP_r3407_c3407,0.28338614757808966,0.15715132093388975,True,False,-0.09724433041431264,-0.09724433041431264,-0.02440522316943708,0.0,0.02405811762409427,-0.15715132093388975,-0.09724433041431264,0.0,-0.09724433041431264,0.9769126301493889,0.9418288818469895
