seed,combination,AUC,Sensitivity,Specificity,Balanced_ACC,positive_probability_mean,negative_probability_mean,positive_negative_gap,TP,FN,TN,FP,material_positive_damage_count,severe_positive_damage_count,c17_tp_to_candidate_fn,c17_fn_to_candidate_tp,c27_tp_to_candidate_fn,c27_fn_to_candidate_tp,threshold_transition_count_vs_000,positive_threshold_transition_count_vs_000,negative_threshold_transition_count_vs_000,pairwise_inversion_count,AUC_change_vs_000,AUC_change_vs_111,sensitivity_change_vs_000,sensitivity_change_vs_111,material_damage_change_vs_000,material_damage_change_vs_111,inversion_change_vs_000,inversion_change_vs_111,minor_AUC_variation_vs_000,minor_threshold_variation_vs_000,minor_ranking_variation_vs_000
42,010,0.8705296514259846,0.7446808510638298,0.8085106382978723,0.776595744680851,0.6671405482165357,0.2635338942797736,0.4036066539367621,35,12,38,9,21,16,8,2,0,1,3,1,2,286,-0.0009053870529651675,0.004526935264825616,0.02127659574468077,-0.042553191489361764,0,1,2,-10,True,False,True
42,011,0.8664554096876415,0.7872340425531915,0.8085106382978723,0.7978723404255319,0.682257464908539,0.27650183685956164,0.40575562804897736,37,10,38,9,20,15,6,2,0,3,5,3,2,295,-0.00497962879130831,0.00045269352648247274,0.06382978723404253,0.0,-1,0,11,-1,False,False,False
42,100,0.8709823449524672,0.723404255319149,0.851063829787234,0.7872340425531915,0.6568346746424412,0.2551091373303628,0.4017255373120784,34,13,40,7,21,19,8,1,0,0,0,0,0,285,-0.00045269352648258376,0.004979628791308199,0.0,-0.06382978723404253,0,1,1,-11,True,True,True
42,101,0.8691715708465368,0.7872340425531915,0.8085106382978723,0.7978723404255319,0.6721601898365832,0.26787089723895524,0.40428929259762797,37,10,38,9,21,15,6,2,0,3,5,3,2,289,-0.002263467632412919,0.0031688546853778643,0.06382978723404253,0.0,0,1,5,-7,False,False,False
42,110,0.869171570846537,0.7446808510638298,0.8085106382978723,0.776595744680851,0.6674501188891999,0.26409102252070255,0.40335909636849737,35,12,38,9,21,15,8,2,0,1,3,1,2,289,-0.002263467632412808,0.0031688546853779753,0.02127659574468077,-0.042553191489361764,0,1,5,-7,False,False,False
42,111,0.866002716161159,0.7872340425531915,0.8085106382978723,0.7978723404255319,0.6825499103424397,0.2770726197656799,0.40547729057675985,37,10,38,9,20,15,6,2,0,3,5,3,2,296,-0.005432322317790783,0.0,0.06382978723404253,0.0,-1,0,12,0,False,False,False
3407,000,0.8736985061113627,0.8085106382978723,0.8085106382978723,0.8085106382978723,0.6831299917812043,0.25553047425173064,0.4275995175294736,38,9,38,9,9,8,4,5,0,0,0,0,0,279,0.0,0.001810774105930335,0.0,0.0,0,0,0,-4,True,True,True
3407,001,0.8732458125848801,0.8085106382978723,0.7872340425531915,0.7978723404255319,0.6890637871432812,0.26198440574188814,0.42707938140139307,38,9,37,10,9,8,4,5,0,0,1,0,1,280,-0.00045269352648258376,0.0013580805794477513,0.0,0.0,0,0,1,-3,True,True,True
3407,010,0.8741511996378452,0.8085106382978723,0.8085106382978723,0.8085106382978723,0.6855462409080343,0.25894514897323034,0.42660109193480394,38,9,38,9,9,8,4,5,0,0,0,0,0,278,0.00045269352648247274,0.002263467632412808,0.0,0.0,0,0,-1,-5,True,True,True
3407,011,0.8718877320054323,0.8085106382978723,0.7872340425531915,0.7978723404255319,0.6913983582499179,0.26546784153485553,0.4259305167150624,38,9,37,10,9,8,4,5,0,0,1,0,1,283,-0.001810774105930335,0.0,0.0,0.0,0,0,4,0,False,True,False
3407,100,0.8741511996378452,0.8085106382978723,0.8085106382978723,0.8085106382978723,0.6836572885513306,0.2561709162125245,0.42748637233880604,38,9,38,9,9,8,4,5,0,0,0,0,0,278,0.00045269352648247274,0.002263467632412808,0.0,0.0,0,0,-1,-5,True,True,True
3407,101,0.8727931190583975,0.8085106382978723,0.7872340425531915,0.7978723404255319,0.6895763081438998,0.2626394290239253,0.4269368791199745,38,9,37,10,9,8,4,5,0,0,1,0,1,281,-0.0009053870529651675,0.0009053870529651675,0.0,0.0,0,0,2,-2,True,True,True
3407,110,0.8741511996378452,0.8085106382978723,0.8085106382978723,0.8085106382978723,0.686066746077639,0.2595929219288394,0.42647382414879953,38,9,38,9,9,8,4,5,0,0,0,0,0,278,0.00045269352648247274,0.002263467632412808,0.0,0.0,0,0,-1,-5,True,True,True
3407,111,0.8718877320054323,0.8085106382978723,0.7872340425531915,0.7978723404255319,0.6919040359715198,0.26613012160313254,0.4257739143683873,38,9,37,10,9,8,4,5,0,0,1,0,1,283,-0.001810774105930335,0.0,0.0,0.0,0,0,4,0,False,True,False
