seed,combination,selected_structure_shortcut_only_label_AUC,max_abs_prediction_selected_structure_spearman,shortcut_safety_pass,shortcut_fields_used_as_factorial_inputs,prediction_spearman_selected_n_visits,prediction_spearman_used_images,prediction_spearman_image_padding_count,prediction_spearman_has_bio,prediction_spearman_bio_missing_count,prediction_spearman_report_length,prediction_spearman_reconstructable_visit_count,prediction_spearman_visit_report_coverage,prediction_spearman_dated_bio_visit_count,raw_n_visits_orientation_invariant_label_AUC_warning,raw_n_images_orientation_invariant_label_AUC_warning
42,001,0.28338614757808966,0.19440350293633263,True,False,-0.12557913531214338,-0.12557913531214338,-0.08209885684844075,0.0,-0.11387509008737955,-0.19440350293633263,-0.12557913531214338,0.0,-0.12557913531214338,0.9769126301493889,0.9418288818469895
42,110,0.28338614757808966,0.1946708285247908,True,False,-0.12557913531214338,-0.12557913531214338,-0.08316609490343865,0.0,-0.11227121557910662,-0.1946708285247908,-0.12557913531214338,0.0,-0.12557913531214338,0.9769126301493889,0.9418288818469895
42,101,0.28338614757808966,0.19440350293633263,True,False,-0.12557913531214338,-0.12557913531214338,-0.08209885684844075,0.0,-0.11387509008737955,-0.19440350293633263,-0.12557913531214338,0.0,-0.12557913531214338,0.9769126301493889,0.9418288818469895
42,011,0.28338614757808966,0.19665048288256223,True,False,-0.12596913262677736,-0.12596913262677736,-0.08526918165887565,0.0,-0.1154789645956525,-0.19665048288256223,-0.12596913262677736,0.0,-0.12596913262677736,0.9769126301493889,0.9418288818469895
42,111,0.28338614757808966,0.19610860668974156,True,False,-0.12508413872049254,-0.12508413872049254,-0.08550460181806638,0.0,-0.1154789645956525,-0.19610860668974156,-0.12508413872049254,0.0,-0.12508413872049254,0.9769126301493889,0.9418288818469895
3407,000,0.28338614757808966,0.15715132093388975,True,False,-0.09724433041431264,-0.09724433041431264,-0.02440522316943708,0.0,0.02405811762409427,-0.15715132093388975,-0.09724433041431264,0.0,-0.09724433041431264,0.9769126301493889,0.9418288818469895
3407,100,0.28338614757808966,0.15647216943888786,True,False,-0.09646433578504468,-0.09646433578504468,-0.02440522316943708,0.0,0.02405811762409427,-0.15647216943888786,-0.09646433578504468,0.0,-0.09646433578504468,0.9769126301493889,0.9418288818469895
3407,010,0.28338614757808966,0.15587249311883303,True,False,-0.09652433537191145,-0.09652433537191145,-0.028109167007370935,0.0,0.02405811762409427,-0.15587249311883303,-0.09652433537191145,0.0,-0.09652433537191145,0.9769126301493889,0.9418288818469895
3407,001,0.28338614757808966,0.15697069553628284,True,False,-0.09757432814207986,-0.09757432814207986,-0.027826662816342086,0.0,0.02405811762409427,-0.15697069553628284,-0.09757432814207986,0.0,-0.09757432814207986,0.9769126301493889,0.9418288818469895
3407,110,0.28338614757808966,0.15587249311883303,True,False,-0.09652433537191145,-0.09652433537191145,-0.028109167007370935,0.0,0.02405811762409427,-0.15587249311883303,-0.09652433537191145,0.0,-0.09652433537191145,0.9769126301493889,0.9418288818469895
3407,101,0.28338614757808966,0.15798942277878567,True,False,-0.09835432277134783,-0.09835432277134783,-0.026696646052226672,0.0,0.02405811762409427,-0.15798942277878567,-0.09835432277134783,0.0,-0.09835432277134783,0.9769126301493889,0.9418288818469895
3407,011,0.28338614757808966,0.16036645301129218,True,False,-0.09967431368241671,-0.09967431368241671,-0.025723576060905064,0.0,0.025661992132367216,-0.16036645301129218,-0.09967431368241671,0.0,-0.09967431368241671,0.9769126301493889,0.9418288818469895
3407,111,0.28338614757808966,0.15957892627772619,True,False,-0.09922431678091595,-0.09922431678091595,-0.025723576060905064,0.0,0.025661992132367216,-0.15957892627772619,-0.09922431678091595,0.0,-0.09922431678091595,0.9769126301493889,0.9418288818469895
