seed,positive_patient_id,negative_patient_id,final_logit_margin,margin_without_image,margin_without_text,margin_without_bio,text_only_like_margin,image_only_like_margin,margin_without_diffuse,margin_without_negative,image_opposed_flag,image_repair_flag,text_driven_flag,fusion_interaction_flag
42,10117252,10001110,-1.888713389635086,-1.6655340194702148,-0.07876893877983093,-2.9560123085975647,-2.65609347820282,-0.33365141600370407,0.5464235544204712,-2.136339247226715,0,0,1,0
42,10117252,10009149,-2.9308727085590363,-2.3723695278167725,-0.26720425486564636,-4.242070376873016,-3.6277540922164917,-0.5723420903086662,0.35542580485343933,-3.168988049030304,0,0,1,0
42,10117252,10043013,-1.8163194954395294,-2.2415988445281982,0.49127861857414246,-3.096626937389374,-3.8342803716659546,0.5191519036889076,1.790546476840973,-2.3626142144203186,0,0,1,0
42,10117252,10106168,-1.6589420139789581,-1.2015901803970337,-0.7231922447681427,-2.0649552941322327,-1.5664226412773132,-0.37165551632642746,-0.334496408700943,-1.973054587841034,0,0,1,0
42,10117252,10027380,-0.7110596001148224,-0.5785991549491882,0.14492544531822205,-1.3265078663825989,-1.2502661347389221,0.12756934016942978,1.1880366206169128,-1.2717129588127136,0,0,1,0
42,10117252,10020343,-0.11045295000076294,-0.5451666116714478,0.6462111175060272,-0.6780345439910889,-1.2072388529777527,0.6955118253827095,-0.1716035157442093,0.008568823337554932,0,0,1,0
42,10117252,10023011,-1.1603479087352753,-1.8182071447372437,0.541448324918747,-2.305363118648529,-3.495681881904602,0.581738717854023,-1.1101655960083008,0.21803468465805054,1,0,0,0
42,10117252,10084278,-0.38257595896720886,-0.7451159954071045,0.5002560615539551,-1.0398228764533997,-1.7708972692489624,0.45776859670877457,0.46678513288497925,0.09776324033737183,0,0,1,0
42,10117252,10005075,-0.7934286296367645,-1.8040605783462524,0.8501512706279755,-1.486335575580597,-3.1429861783981323,1.0639521554112434,1.7634533047676086,0.2727331519126892,0,0,1,0
42,10117252,10137578,-1.4228575527668,-0.8841179609298706,-0.48423895239830017,-2.400030553340912,-1.7682035565376282,-0.5499431416392326,-0.03336459398269653,-1.9350832104682922,0,0,1,0
42,10117252,10083858,-0.15165787935256958,-0.6214005947113037,0.8738386332988739,-0.8482517004013062,-1.3906846046447754,0.8961319401860237,2.19788259267807,0.7076852917671204,0,0,1,0
42,10066912,10009149,-0.5606834888458252,-0.08282184600830078,-0.220148503780365,-0.66550612449646,-0.07675743103027344,-0.540983647108078,0.0360339879989624,-3.0925000607967377,0,0,1,0
42,10067220,10001110,-0.7518155574798584,-0.6162346601486206,-0.1823025792837143,-0.9869295358657837,-0.715114951133728,-0.4680292457342148,-1.101766049861908,-2.074187010526657,0,0,1,0
42,10067220,10009149,-1.7939748764038086,-1.3230701684951782,-0.3707378953695297,-2.2729876041412354,-1.6867755651474,-0.7067199200391769,-1.2927637994289398,-3.106835812330246,0,0,1,0
42,10067220,10043013,-0.6794216632843018,-1.192299485206604,0.3877449780702591,-1.1275441646575928,-1.8933018445968628,0.3847740739583969,0.14235687255859375,-2.3004619777202606,0,0,1,0
42,10067220,10106168,-0.5220441818237305,-0.15229082107543945,-0.8267258852720261,-0.09587252140045166,0.37455588579177856,-0.5060333460569382,-1.9826860129833221,-1.910902351140976,0,0,1,0
42,10067220,10023011,-0.023450076580047607,-0.7689077854156494,0.4379146844148636,-0.33628034591674805,-1.5547033548355103,0.44736088812351227,-2.75835520029068,0.2801869213581085,0,0,0,1
42,10067220,10137578,-0.28595972061157227,0.16518139839172363,-0.5877725929021835,-0.43094778060913086,0.17277497053146362,-0.6843209713697433,-1.6815541982650757,-1.8729309737682343,1,1,0,0
42,10064537,10001110,-1.4955100491642952,-0.5864673852920532,-0.9152098894119263,-1.8938132598996162,-0.568974494934082,-1.2179954648017883,-1.248155415058136,-2.699660301208496,0,0,1,0
42,10064537,10009149,-2.5376693680882454,-1.2933028936386108,-1.1036452054977417,-3.179871328175068,-1.540635108947754,-1.4566861391067505,-1.4391531646251678,-3.732309103012085,0,0,1,0
42,10064537,10043013,-1.4231161549687386,-1.1625322103500366,-0.3451623320579529,-2.0344278886914253,-1.7471613883972168,-0.36519214510917664,-0.004032492637634277,-2.9259352684020996,0,0,1,0
42,10064537,10106168,-1.2657386735081673,-0.12252354621887207,-1.559633195400238,-1.0027562454342842,0.5206963419914246,-1.2559995651245117,-2.12907537817955,-2.536375641822815,0,0,1,0
42,10064537,10027380,-0.3178562596440315,0.5004674792289734,-0.6915155053138733,-0.2643088176846504,0.8368528485298157,-0.7567747086286545,-0.6065423488616943,-1.8350340127944946,0,0,1,0
42,10064537,10023011,-0.7671445682644844,-0.739140510559082,-0.2949926257133484,-1.2431640699505806,-1.4085628986358643,-0.3026053309440613,-2.904744565486908,-0.34528636932373047,1,0,0,0
42,10064537,10005075,-0.40022528916597366,-0.7249939441680908,0.013710319995880127,-0.42413652688264847,-1.0558671951293945,0.17960810661315918,-0.031125664710998535,-0.2905879020690918,1,0,0,0
42,10064537,10137578,-1.029654212296009,0.19494867324829102,-1.3206799030303955,-1.3378315046429634,0.3189154267311096,-1.434287190437317,-1.8279435634613037,-2.4984042644500732,1,1,0,0
42,10098069,10001110,-0.5070792436599731,-0.604238748550415,0.4875025153160095,-0.9773298501968384,-1.0597013235092163,-0.013291627168655396,1.8535686135292053,-1.5939404666423798,0,0,1,0
42,10098069,10009149,-1.5492385625839233,-1.3110742568969727,0.2990671992301941,-2.26338791847229,-2.031361937522888,-0.25198230147361755,1.6625708639621735,-2.6265892684459686,0,0,1,0
42,10098069,10043013,-0.4346853494644165,-1.1803035736083984,1.057550072669983,-1.1179444789886475,-2.237888216972351,0.8395116925239563,3.097691535949707,-1.8202154338359833,0,0,1,0
42,10098069,10106168,-0.2773078680038452,-0.1402949094772339,-0.15692079067230225,-0.08627283573150635,0.029969513416290283,-0.051295727491378784,0.9726486504077911,-1.4306558072566986,0,0,1,0
42,10098069,10137578,-0.04122340679168701,0.1771773099899292,0.08203250169754028,-0.42134809494018555,-0.17181140184402466,-0.22958335280418396,1.2737804651260376,-1.392684429883957,0,0,1,0
42,10132146,10001110,-1.6237684041261673,-1.5451195538043976,-0.13554182648658752,-2.1346943974494934,-1.9756075739860535,-0.1464356929063797,-1.640371859073639,-2.461030602455139,0,0,1,0
42,10132146,10009149,-2.6659277230501175,-2.251955062150955,-0.32397714257240295,-3.420752465724945,-2.9472681879997253,-0.38512636721134186,-1.8313696086406708,-3.493679404258728,0,0,1,0
42,10132146,10043013,-1.5513745099306107,-2.121184378862381,0.43450573086738586,-2.2753090262413025,-3.1537944674491882,0.706367626786232,-0.3962489366531372,-2.6873055696487427,0,0,1,0
42,10132146,10106168,-1.3939970284700394,-1.0811757147312164,-0.7799651324748993,-1.2436373829841614,-0.8859367370605469,-0.1844397932291031,-2.521291822195053,-2.297745943069458,0,0,1,0
42,10132146,10027380,-0.4461146146059036,-0.45818468928337097,0.08815255761146545,-0.5051899552345276,-0.5697802305221558,0.31478506326675415,-0.9987587928771973,-1.5964043140411377,0,0,1,0
42,10132146,10023011,-0.8954029232263565,-1.6977926790714264,0.48467543721199036,-1.4840452075004578,-2.8151959776878357,0.7689544409513474,-3.296961009502411,-0.10665667057037354,0,0,0,1
