patient_id,seed,M1_weight,M2_weight,M3_weight,M4_weight,M5_weight,empty_slot_M1,empty_slot_M2,empty_slot_M3,empty_slot_M4,empty_slot_M5,M1_norm,M2_norm,M3_norm,M4_norm,M5_norm,node_weight_entropy,max_weight
10045442,42,0.1571050584316253,0.2132424265146255,0.2017484009265899,0.2908929586410522,0.1370111554861068,False,True,False,False,False,15.993738174438477,1.2947330474853516,16.001510620117188,16.009878158569336,15.993200302124023,1.5747816038989277,0.2908929586410522
10048335,42,0.1688143908977508,0.2209184765815735,0.2064909636974334,0.260784387588501,0.14299176633358,False,True,False,False,False,15.997623443603516,1.2947330474853516,16.001853942871094,16.003599166870117,15.990538597106934,1.588255541824251,0.260784387588501
10048847,42,0.1831954270601272,0.2239474952220916,0.2069260030984878,0.2387483865022659,0.1471826583147049,False,False,False,False,False,15.995844841003418,16.012197494506836,16.001476287841797,15.997035026550291,15.990177154541016,1.5959959578566985,0.2387483865022659
10051496,42,0.1824808418750763,0.2198591232299804,0.2062436938285827,0.2417210191488266,0.1496953219175338,False,True,False,False,False,15.991616249084473,1.2947330474853516,16.00189208984375,15.989675521850586,15.989864349365234,1.596583094008003,0.2417210191488266
10052254,42,0.1834159791469574,0.2207115441560745,0.2069703787565231,0.2359085530042648,0.1529935002326965,False,True,False,False,False,15.98868179321289,1.2947330474853516,16.001893997192383,15.991265296936035,15.990337371826172,1.59851071639266,0.2359085530042648
10056854,42,0.1613970398902893,0.2200989872217178,0.2061909437179565,0.2684392631053924,0.143873780965805,False,True,False,False,False,15.991357803344728,1.2947330474853516,16.001893997192383,15.995616912841797,15.99450397491455,1.5850726981581131,0.2684392631053924
10057459,42,0.1647973656654358,0.2190083563327789,0.2050449401140213,0.2668728232383728,0.1442764848470688,False,True,False,False,False,15.988962173461914,1.2947330474853516,16.001893997192383,15.99799919128418,15.991400718688965,1.586488293555027,0.2668728232383728
10063399,42,0.154019296169281,0.2112036794424057,0.1989841610193252,0.2976147830486297,0.1381780803203582,False,True,False,False,False,15.99335479736328,1.2947330474853516,16.001760482788086,16.01268196105957,15.99422836303711,1.571973273595858,0.2976147830486297
10064351,42,0.1557358354330063,0.2130308896303177,0.1995576471090316,0.2907444536685943,0.14093117415905,False,True,False,False,False,15.99207592010498,1.2947330474853516,16.00188446044922,16.00387954711914,15.991955757141112,1.575948487541007,0.2907444536685943
10064537,42,0.1554044336080551,0.2153459787368774,0.2015251517295837,0.2859069108963012,0.1418175250291824,False,True,False,False,False,15.990861892700195,1.2947330474853516,16.001888275146484,16.002269744873047,15.993096351623535,1.5777781286207482,0.2859069108963012
10064626,42,0.1585816890001297,0.2163021713495254,0.2029949873685836,0.280981034040451,0.1411400884389877,False,True,False,False,False,15.989297866821287,1.2947330474853516,16.001888275146484,16.01006507873535,15.99163818359375,1.5799411752098433,0.280981034040451
10065841,42,0.1639657020568847,0.2216755598783493,0.2083770781755447,0.2534715533256531,0.1525101363658905,False,True,False,False,False,15.988616943359377,1.2947330474853516,16.001859664916992,15.992559432983398,15.990367889404297,1.5919387438195352,0.2534715533256531
10066099,42,0.1899216622114181,0.2133572548627853,0.1999344229698181,0.2474039494991302,0.1493826955556869,False,True,False,False,False,15.996078491210938,1.2947330474853516,16.001895904541016,15.998019218444824,15.990018844604492,1.596496484196046,0.2474039494991302
10066912,42,0.1567094326019287,0.2141746878623962,0.2010084986686706,0.2895444333553314,0.1385629773139953,False,True,False,False,False,15.992971420288086,1.2947330474853516,16.00188636779785,16.006288528442383,15.9937162399292,1.575709203203323,0.2895444333553314
10067220,42,0.1781359612941742,0.2371205240488052,0.2218064665794372,0.2094942927360534,0.1534427553415298,False,True,False,False,False,15.990005493164062,1.2947330474853516,16.001876831054688,15.986398696899414,15.99321460723877,1.5976810367893068,0.2371205240488052
