variable,n_hard,n_control,hard_mean,hard_median,hard_std,hard_iqr,control_mean,control_median,control_std,control_iqr,mean_difference,median_difference,cohens_d,cliffs_delta,bootstrap_mean_difference_ci_low,bootstrap_mean_difference_ci_high
text_image_cosine,11,11,-0.19600300321524794,-0.20390706757704413,0.04873827363155568,0.06342647969722745,-0.18659267010110794,-0.1933549990256627,0.07441837133606047,0.07904110476374626,-0.009410333114139996,-0.010552068551381438,-0.1496012858808292,-0.15702479338842976,-0.06159090401717665,0.04138350343952571
delta_mask_image,11,11,0.12877492510685415,0.10983664790789283,0.07468667484309115,0.07790810273339346,0.034213049845262015,0.0280474623044332,0.04034602143138117,0.05821706851323442,0.09456187526159213,0.08178918560345963,1.5753858236095246,0.7355371900826446,0.04784962615760214,0.14213877302792033
delta_mask_text,11,11,0.030615024212183376,0.027545531590779663,0.14508679152651172,0.1792685873806476,-0.37704977844700666,-0.3769315580526988,0.06395315036555099,0.06868668893973034,0.40766480265919003,0.40447708964347845,3.6360847834853054,1.0,0.3231317749642062,0.4942314846935033
delta_mask_bio,11,11,0.005737913589021459,0.016273617744445763,0.048453680901324195,0.07441483073246973,0.078855938983686,0.09720011552174883,0.039058808161167,0.054503202438354485,-0.07311802539466454,-0.08092649777730307,-1.6614837526341275,-0.7520661157024794,-0.10765726463269493,-0.03781100903235544
delta_text_only_like,11,11,0.13287800087621718,0.12515863776206967,0.12539044027077043,0.17522076579431686,0.097674265052333,0.09152152140935256,0.060742265084262614,0.07823899388313293,0.03520373582388418,0.033637116352717114,0.35732573855811683,0.15702479338842976,-0.04367398138750678,0.11782338057898661
delta_remove_diffuse,11,11,-0.15545046442385876,-0.1937612468997637,0.1927099741863182,0.3320295096685489,-0.46076484035813453,-0.5442231992880503,0.24102558144553268,0.2938647779325644,0.3053143759342758,0.3504619523882866,1.3991822886374001,0.7024793388429752,0.12004396908662526,0.4683609634637832
delta_remove_negative,11,11,-0.06051298010755669,0.0009607374668121671,0.15818818383817768,0.20796406238029397,-0.47358169395363686,-0.5966088672478994,0.27115351446640173,0.28491502006848657,0.4130687138460802,0.5975696047147115,1.8608612310935748,0.7024793388429752,0.23688074522651736,0.5893075832222221
delta_remove_prefix,11,11,-0.19001441561814508,-0.16289753715197242,0.18527183336933523,0.2906255967294177,-0.5186046526739092,-0.5420215030511221,0.15780350833079398,0.2577461265027523,0.3285902370557641,0.37912396589914965,1.909446911269475,0.8181818181818182,0.19952036736137937,0.45867392257363954
first256_morphology_term_count,11,11,2.727272727272727,3.0,1.1908743922772955,1.0,3.0,3.0,1.0954451150103321,1.0,-0.27272727272727293,0.0,-0.23836564731139828,-0.08264462809917356,-1.2727272727272725,0.6363636363636367
first256_diffuse_ht_term_count,11,11,1.3636363636363635,1.0,0.6741998624632421,1.0,1.6363636363636365,2.0,0.674199862463242,0.5,-0.27272727272727293,-1.0,-0.4045199174779455,-0.24793388429752067,-0.7295454545454545,0.27272727272727293
full_report_morphology_term_count,11,11,3.5454545454545454,4.0,1.6348477827391983,2.5,3.3636363636363638,3.0,1.2060453783110545,2.0,0.18181818181818166,1.0,0.12656706944415355,0.09917355371900827,-1.0,1.3636363636363633
full_report_diffuse_ht_term_count,11,11,1.3636363636363635,1.0,0.6741998624632421,1.0,1.6363636363636365,2.0,0.674199862463242,0.5,-0.27272727272727293,-1.0,-0.4045199174779455,-0.24793388429752067,-0.8181818181818181,0.2727272727272727
latest_visit_morphology_term_count,11,11,2.272727272727273,3.0,1.1908743922772957,1.5,2.8181818181818183,3.0,0.8738628975053029,1.0,-0.5454545454545454,0.0,-0.5222329678670935,-0.19008264462809918,-1.3636363636363638,0.2727272727272725
latest_visit_diffuse_ht_term_count,11,11,1.3636363636363635,1.0,0.6741998624632421,1.0,1.6363636363636365,2.0,0.674199862463242,0.5,-0.27272727272727293,-1.0,-0.4045199174779455,-0.24793388429752067,-0.7272727272727274,0.2727272727272727
full_report_negative_term_count,11,11,2.909090909090909,3.0,1.7002673586554236,1.5,3.272727272727273,2.0,2.3702704103502237,3.5,-0.36363636363636376,1.0,-0.17629529511598177,0.01652892561983471,-2.090909090909091,1.272727272727273
positive_negative_overlap,11,11,0.8181818181818182,1.0,0.40451991747794525,0.0,1.0,1.0,0.0,0.0,-0.18181818181818177,0.0,-0.635641726163728,-0.18181818181818182,-0.4545454545454546,0.0
report_length,11,11,846.0,722.0,380.7390182263961,463.5,497.45454545454544,601.0,224.98993916900537,343.5,348.54545454545456,121.0,1.1145748339802288,0.5537190082644629,104.26363636363645,602.1249999999999
selected_n_visits,11,11,2.5454545454545454,2.0,1.2135597524338357,1.0,1.6363636363636365,2.0,0.674199862463242,1.0,0.909090909090909,0.0,0.926084733220795,0.4628099173553719,0.18181818181818166,1.7272727272727273
used_images,11,11,10.181818181818182,8.0,4.854239009735343,4.0,6.545454545454546,8.0,2.696799449852968,4.0,3.636363636363636,0.0,0.926084733220795,0.4628099173553719,0.7181818181818181,6.909090909090909
image_padding_count,11,11,0.9090909090909091,1.0,1.0444659357341868,1.5,0.45454545454545453,0.0,0.6875516509523286,1.0,0.45454545454545453,1.0,0.5140725757204156,0.2396694214876033,-0.18181818181818188,1.1818181818181819
has_bio,11,11,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
bio_missing_count,11,11,2.0,2.0,0.0,0.0,1.6363636363636365,2.0,0.8090398349558905,0.0,0.36363636363636354,0.0,0.635641726163728,0.18181818181818182,0.0,0.9090909090909092
